perf_metric,perf_metric_diff,pvalue,names,method,perf_metric_name,seed,groups,test_group,train_frac
0.9695299145299144,-0.00371794871794872,0.53,Otu00044,rf,AUC,100,exp_id_number,fmt_1,0.65
0.9737179487179488,-0.00790598290598287,0.93,Otu00045,rf,AUC,100,exp_id_number,fmt_1,0.65
0.9658119658119658,0,0,Otu00046,rf,AUC,100,exp_id_number,fmt_1,0.65
0.9685897435897436,-0.00277777777777776,0.33,Otu00047,rf,AUC,100,exp_id_number,fmt_1,0.65
0.9658119658119658,0,0,Otu00048,rf,AUC,100,exp_id_number,fmt_1,0.65
0.9658119658119658,0,0,Otu00049,rf,AUC,100,exp_id_number,fmt_1,0.65
0.9667948717948718,-9.829059829059572e-4,0.13,Otu00050,rf,AUC,100,exp_id_number,fmt_1,0.65
0.9658119658119658,0,0,Otu00051,rf,AUC,100,exp_id_number,fmt_1,0.65
0.9723076923076924,-0.00649572649572649,0.81,Otu00052,rf,AUC,100,exp_id_number,fmt_1,0.65
0.971965811965812,-0.00615384615384617,0.72,Otu00053,rf,AUC,100,exp_id_number,fmt_1,0.65
0.9682051282051282,-0.00239316239316234,0.28,Otu00054,rf,AUC,100,exp_id_number,fmt_1,0.65
0.9719230769230768,-0.00611111111111106,0.72,Otu00055,rf,AUC,100,exp_id_number,fmt_1,0.65
0.9713675213675214,-0.00555555555555553,0.65,Otu00056,rf,AUC,100,exp_id_number,fmt_1,0.65
0.9665811965811966,-7.692307692307443e-4,0.1,Otu00057,rf,AUC,100,exp_id_number,fmt_1,0.65
0.969102564102564,-0.0032905982905983,0.49,Otu00058,rf,AUC,100,exp_id_number,fmt_1,0.65
0.9732478632478632,-0.00743589743589745,0.91,Otu00059,rf,AUC,100,exp_id_number,fmt_1,0.65
0.9682905982905984,-0.00247863247863244,0.29,Otu00060,rf,AUC,100,exp_id_number,fmt_1,0.65
0.9722649572649572,-0.00645299145299138,0.77,Otu00062,rf,AUC,100,exp_id_number,fmt_1,0.65
0.9664529914529916,-6.410256410256387e-4,0.15,Otu00063,rf,AUC,100,exp_id_number,fmt_1,0.65
0.9717948717948718,-0.00598290598290596,0.88,Otu00064,rf,AUC,100,exp_id_number,fmt_1,0.65
0.9695726495726495,-0.00376068376068372,0.47,Otu00065,rf,AUC,100,exp_id_number,fmt_1,0.65
0.9658119658119658,0,0,Otu00067,rf,AUC,100,exp_id_number,fmt_1,0.65
0.9723931623931624,-0.0065811965811966,0.78,Otu00068,rf,AUC,100,exp_id_number,fmt_1,0.65
0.97008547008547,-0.00427350427350425,0.51,Otu00069,rf,AUC,100,exp_id_number,fmt_1,0.65
0.9664102564102564,-5.982905982906406e-4,0.13,Otu00070,rf,AUC,100,exp_id_number,fmt_1,0.65
0.9685470085470086,-0.00273504273504276,0.32,Otu00071,rf,AUC,100,exp_id_number,fmt_1,0.65
0.9727777777777776,-0.00696581196581191,0.83,Otu00072,rf,AUC,100,exp_id_number,fmt_1,0.65
0.9658119658119658,0,0,Otu00073,rf,AUC,100,exp_id_number,fmt_1,0.65
0.9663675213675214,-5.555555555555314e-4,0.13,Otu00074,rf,AUC,100,exp_id_number,fmt_1,0.65
0.9726495726495726,-0.00683760683760681,0.8,Otu00076,rf,AUC,100,exp_id_number,fmt_1,0.65
0.965982905982906,-1.7094017094021474e-4,0.04,Otu00077,rf,AUC,100,exp_id_number,fmt_1,0.65
0.96619658119658125,-3.8461538461542766e-4,0.07,Otu00078,rf,AUC,100,exp_id_number,fmt_1,0.65
0.967991452991453,-0.00217948717948712,0.26,Otu00079,rf,AUC,100,exp_id_number,fmt_1,0.65
0.9676068376068376,-0.00179487179487181,0.38,Otu00081,rf,AUC,100,exp_id_number,fmt_1,0.65
0.9723076923076924,-0.00649572649572649,0.76,Otu00082,rf,AUC,100,exp_id_number,fmt_1,0.65
0.9691452991452992,-0.00333333333333329,0.47,Otu00083,rf,AUC,100,exp_id_number,fmt_1,0.65
0.9703846153846154,-0.00457264957264957,0.6,Otu00084,rf,AUC,100,exp_id_number,fmt_1,0.65
0.9685042735042736,-0.00269230769230766,0.37,Otu00085,rf,AUC,100,exp_id_number,fmt_1,0.65
0.9669230769230768,-0.00111111111111106,0.17,Otu00086,rf,AUC,100,exp_id_number,fmt_1,0.65
0.9731623931623932,-0.00735042735042734,0.86,Otu00088,rf,AUC,100,exp_id_number,fmt_1,0.65
0.966068376068376,-2.564102564102111e-4,0.03,Otu00089,rf,AUC,100,exp_id_number,fmt_1,0.65
0.9666239316239316,-8.119658119658535e-4,0.19,Otu00090,rf,AUC,100,exp_id_number,fmt_1,0.65
0.9691452991452992,-0.00333333333333329,0.4,Otu00091,rf,AUC,100,exp_id_number,fmt_1,0.65
0.9727777777777776,-0.00696581196581191,0.85,Otu00092,rf,AUC,100,exp_id_number,fmt_1,0.65
0.9723504273504272,-0.00653846153846149,0.79,Otu00093,rf,AUC,100,exp_id_number,fmt_1,0.65
0.9725641025641024,-0.0067521367521367,0.79,Otu00094,rf,AUC,100,exp_id_number,fmt_1,0.65
0.967948717948718,-0.00213675213675212,0.26,Otu00095,rf,AUC,100,exp_id_number,fmt_1,0.65
0.9668376068376068,-0.00102564102564106,0.12,Otu00096,rf,AUC,100,exp_id_number,fmt_1,0.65
0.9701709401709402,-0.00435897435897436,0.57,Otu00098,rf,AUC,100,exp_id_number,fmt_1,0.65
0.97008547008547,-0.00427350427350425,0.5,Otu00099,rf,AUC,100,exp_id_number,fmt_1,0.65
0.971880341880342,-0.00606837606837606,0.75,Otu00101,rf,AUC,100,exp_id_number,fmt_1,0.65
0.9730769230769232,-0.00726495726495723,0.87,Otu00102,rf,AUC,100,exp_id_number,fmt_1,0.65
0.9732051282051282,-0.00739316239316234,0.9,Otu00103,rf,AUC,100,exp_id_number,fmt_1,0.65
0.9691880341880342,-0.0033760683760684,0.59,Otu00104,rf,AUC,100,exp_id_number,fmt_1,0.65
0.9706837606837608,-0.00487179487179489,0.58,Otu00105,rf,AUC,100,exp_id_number,fmt_1,0.65
0.9727350427350429,-0.00692307692307692,0.81,Otu00106,rf,AUC,100,exp_id_number,fmt_1,0.65
0.966880341880342,-0.00106837606837606,0.25,Otu00107,rf,AUC,100,exp_id_number,fmt_1,0.65
0.9711111111111111,-0.00529914529914532,0.66,Otu00108,rf,AUC,100,exp_id_number,fmt_1,0.65
0.9705555555555556,-0.00474358974358968,0.72,Otu00109,rf,AUC,100,exp_id_number,fmt_1,0.65
0.971880341880342,-0.00606837606837606,0.78,Otu00110,rf,AUC,100,exp_id_number,fmt_1,0.65
0.9681623931623932,-0.00235042735042734,0.3,Otu00111,rf,AUC,100,exp_id_number,fmt_1,0.65
0.968034188034188,-0.00222222222222223,0.28,Otu00113,rf,AUC,100,exp_id_number,fmt_1,0.65
0.9665384615384616,-7.264957264957461e-4,0.17,Otu00114,rf,AUC,100,exp_id_number,fmt_1,0.65
0.9673931623931624,-0.00158119658119659,0.32,Otu00115,rf,AUC,100,exp_id_number,fmt_1,0.65
0.9664102564102564,-5.982905982906406e-4,0.14,Otu00116,rf,AUC,100,exp_id_number,fmt_1,0.65
0.9658119658119658,0,0,Otu00117,rf,AUC,100,exp_id_number,fmt_1,0.65
0.968034188034188,-0.00222222222222223,0.28,Otu00118,rf,AUC,100,exp_id_number,fmt_1,0.65
0.9692735042735042,-0.0034615384615384,0.66,Otu00119,rf,AUC,100,exp_id_number,fmt_1,0.65
0.9675641025641024,-0.0017521367521367,0.26,Otu00121,rf,AUC,100,exp_id_number,fmt_1,0.65
0.9658119658119658,0,0,Otu00122,rf,AUC,100,exp_id_number,fmt_1,0.65
0.9658119658119658,0,0,Otu00123,rf,AUC,100,exp_id_number,fmt_1,0.65
0.9724786324786324,-0.00666666666666659,0.78,Otu00124,rf,AUC,100,exp_id_number,fmt_1,0.65
0.9658119658119658,0,0,Otu00125,rf,AUC,100,exp_id_number,fmt_1,0.65
0.9666239316239316,-8.119658119658535e-4,0.22,Otu00126,rf,AUC,100,exp_id_number,fmt_1,0.65
0.9663247863247864,-5.128205128205332e-4,0.12,Otu00127,rf,AUC,100,exp_id_number,fmt_1,0.65
0.967008547008547,-0.00119658119658117,0.19,Otu00128,rf,AUC,100,exp_id_number,fmt_1,0.65
