no,yes,actual,is_pos,tp,fp,sensitivity,fpr,specificity,precision,seed,groups,train_frac,test_group
0.153,0.847,yes,TRUE,3,0,0.42857142857142855,0,1,1,109,exp_id_number,0.65,p40_1
0.212,0.788,yes,TRUE,4,0,0.5714285714285714,0,1,1,109,exp_id_number,0.65,p40_1
0.436,0.564,no,FALSE,4,1,0.5714285714285714,0.06666666666666667,0.9333333333333333,0.8,109,exp_id_number,0.65,p40_1
0.606,0.394,yes,TRUE,5,1,0.7142857142857143,0.06666666666666667,0.9333333333333333,0.8333333333333334,109,exp_id_number,0.65,p40_1
0.654,0.346,yes,TRUE,6,1,0.8571428571428571,0.06666666666666667,0.9333333333333333,0.8571428571428571,109,exp_id_number,0.65,p40_1
0.662,0.338,yes,TRUE,7,1,1,0.06666666666666667,0.9333333333333333,0.875,109,exp_id_number,0.65,p40_1
0.704,0.296,no,FALSE,7,2,1,0.13333333333333333,0.8666666666666667,0.7777777777777778,109,exp_id_number,0.65,p40_1
0.765,0.235,no,FALSE,7,3,1,0.2,0.8,0.7,109,exp_id_number,0.65,p40_1
0.765,0.235,no,FALSE,7,4,1,0.26666666666666666,0.7333333333333334,0.6363636363636364,109,exp_id_number,0.65,p40_1
0.769,0.231,no,FALSE,7,5,1,0.3333333333333333,0.6666666666666667,0.5833333333333334,109,exp_id_number,0.65,p40_1
0.794,0.206,no,FALSE,7,6,1,0.4,0.6,0.5384615384615384,109,exp_id_number,0.65,p40_1
0.802,0.198,no,FALSE,7,7,1,0.4666666666666667,0.5333333333333333,0.5,109,exp_id_number,0.65,p40_1
0.86,0.14,no,FALSE,7,8,1,0.5333333333333333,0.4666666666666667,0.4666666666666667,109,exp_id_number,0.65,p40_1
0.895,0.105,no,FALSE,7,9,1,0.6,0.4,0.4375,109,exp_id_number,0.65,p40_1
0.925,0.075,no,FALSE,7,10,1,0.6666666666666666,0.33333333333333337,0.4117647058823529,109,exp_id_number,0.65,p40_1
0.933,0.067,no,FALSE,7,11,1,0.7333333333333333,0.2666666666666667,0.3888888888888889,109,exp_id_number,0.65,p40_1
0.94,0.06,no,FALSE,7,12,1,0.8,0.19999999999999996,0.3684210526315789,109,exp_id_number,0.65,p40_1
0.948,0.052,no,FALSE,7,13,1,0.8666666666666667,0.1333333333333333,0.35,109,exp_id_number,0.65,p40_1
0.952,0.048,no,FALSE,7,14,1,0.9333333333333333,0.06666666666666665,0.3333333333333333,109,exp_id_number,0.65,p40_1
0.953,0.047,no,FALSE,7,15,1,1,0,0.3181818181818182,109,exp_id_number,0.65,p40_1
0.026,0.974,yes,TRUE,1,0,0.09090909090909091,0,1,1,109,exp_id_number,0.65,p40_2
0.039,0.961,yes,TRUE,2,0,0.18181818181818182,0,1,1,109,exp_id_number,0.65,p40_2
0.228,0.772,yes,TRUE,3,0,0.2727272727272727,0,1,1,109,exp_id_number,0.65,p40_2
0.26,0.74,yes,TRUE,4,0,0.36363636363636365,0,1,1,109,exp_id_number,0.65,p40_2
0.314,0.686,yes,TRUE,5,0,0.45454545454545453,0,1,1,109,exp_id_number,0.65,p40_2
0.388,0.612,no,FALSE,5,1,0.45454545454545453,0.09090909090909091,0.9090909090909091,0.8333333333333334,109,exp_id_number,0.65,p40_2
0.399,0.601,yes,TRUE,6,1,0.5454545454545454,0.09090909090909091,0.9090909090909091,0.8571428571428571,109,exp_id_number,0.65,p40_2
0.412,0.588,yes,TRUE,7,1,0.6363636363636364,0.09090909090909091,0.9090909090909091,0.875,109,exp_id_number,0.65,p40_2
0.65,0.35,yes,TRUE,8,1,0.7272727272727273,0.09090909090909091,0.9090909090909091,0.8888888888888888,109,exp_id_number,0.65,p40_2
0.668,0.332,no,FALSE,8,2,0.7272727272727273,0.18181818181818182,0.8181818181818181,0.8,109,exp_id_number,0.65,p40_2
0.713,0.287,yes,TRUE,9,2,0.8181818181818182,0.18181818181818182,0.8181818181818181,0.8181818181818182,109,exp_id_number,0.65,p40_2
0.743,0.257,yes,TRUE,10,2,0.9090909090909091,0.18181818181818182,0.8181818181818181,0.8333333333333334,109,exp_id_number,0.65,p40_2
0.782,0.218,yes,TRUE,11,2,1,0.18181818181818182,0.8181818181818181,0.8461538461538461,109,exp_id_number,0.65,p40_2
0.815,0.185,no,FALSE,11,3,1,0.2727272727272727,0.7272727272727273,0.7857142857142857,109,exp_id_number,0.65,p40_2
0.84,0.16,no,FALSE,11,4,1,0.36363636363636365,0.6363636363636364,0.7333333333333333,109,exp_id_number,0.65,p40_2
0.846,0.154,no,FALSE,11,5,1,0.45454545454545453,0.5454545454545454,0.6875,109,exp_id_number,0.65,p40_2
0.863,0.137,no,FALSE,11,6,1,0.5454545454545454,0.4545454545454546,0.6470588235294118,109,exp_id_number,0.65,p40_2
0.871,0.129,no,FALSE,11,7,1,0.6363636363636364,0.36363636363636365,0.6111111111111112,109,exp_id_number,0.65,p40_2
0.897,0.103,no,FALSE,11,8,1,0.7272727272727273,0.2727272727272727,0.5789473684210527,109,exp_id_number,0.65,p40_2
0.902,0.098,no,FALSE,11,9,1,0.8181818181818182,0.18181818181818177,0.55,109,exp_id_number,0.65,p40_2
0.918,0.082,no,FALSE,11,10,1,0.9090909090909091,0.09090909090909094,0.5238095238095238,109,exp_id_number,0.65,p40_2
0.961,0.039,no,FALSE,11,11,1,1,0,0.5,109,exp_id_number,0.65,p40_2
0.114,0.886,yes,TRUE,1,0,0.08333333333333333,0,1,1,109,exp_id_number,0.65,p40_3
0.164,0.836,yes,TRUE,2,0,0.16666666666666666,0,1,1,109,exp_id_number,0.65,p40_3
0.169,0.831,yes,TRUE,3,0,0.25,0,1,1,109,exp_id_number,0.65,p40_3
0.173,0.827,yes,TRUE,4,0,0.3333333333333333,0,1,1,109,exp_id_number,0.65,p40_3
0.186,0.814,yes,TRUE,5,0,0.4166666666666667,0,1,1,109,exp_id_number,0.65,p40_3
0.197,0.803,yes,TRUE,6,0,0.5,0,1,1,109,exp_id_number,0.65,p40_3
0.207,0.793,yes,TRUE,7,0,0.5833333333333334,0,1,1,109,exp_id_number,0.65,p40_3
0.257,0.743,yes,TRUE,8,0,0.6666666666666666,0,1,1,109,exp_id_number,0.65,p40_3
0.269,0.731,yes,TRUE,9,0,0.75,0,1,1,109,exp_id_number,0.65,p40_3
0.604,0.396,yes,TRUE,10,0,0.8333333333333334,0,1,1,109,exp_id_number,0.65,p40_3
0.619,0.381,no,FALSE,10,1,0.8333333333333334,0.1,0.9,0.9090909090909091,109,exp_id_number,0.65,p40_3
0.681,0.319,yes,TRUE,11,1,0.9166666666666666,0.1,0.9,0.9166666666666666,109,exp_id_number,0.65,p40_3
0.776,0.224,yes,TRUE,12,1,1,0.1,0.9,0.9230769230769231,109,exp_id_number,0.65,p40_3
0.799,0.201,no,FALSE,12,2,1,0.2,0.8,0.8571428571428571,109,exp_id_number,0.65,p40_3
0.819,0.181,no,FALSE,12,3,1,0.3,0.7,0.8,109,exp_id_number,0.65,p40_3
0.828,0.172,no,FALSE,12,4,1,0.4,0.6,0.75,109,exp_id_number,0.65,p40_3
0.843,0.157,no,FALSE,12,5,1,0.5,0.5,0.7058823529411765,109,exp_id_number,0.65,p40_3
0.908,0.092,no,FALSE,12,6,1,0.6,0.4,0.6666666666666666,109,exp_id_number,0.65,p40_3
0.919,0.081,no,FALSE,12,7,1,0.7,0.30000000000000004,0.631578947368421,109,exp_id_number,0.65,p40_3
0.942,0.058,no,FALSE,12,8,1,0.8,0.19999999999999996,0.6,109,exp_id_number,0.65,p40_3
0.962,0.038,no,FALSE,12,9,1,0.9,0.09999999999999998,0.5714285714285714,109,exp_id_number,0.65,p40_3
0.965,0.035,no,FALSE,12,10,1,1,0,0.5454545454545454,109,exp_id_number,0.65,p40_3
0.189,0.811,yes,TRUE,1,0,0.1111111111111111,0,1,1,110,exp_id_number,0.65,fmt_1
0.202,0.798,yes,TRUE,2,0,0.2222222222222222,0,1,1,110,exp_id_number,0.65,fmt_1
0.237,0.763,yes,TRUE,3,0,0.3333333333333333,0,1,1,110,exp_id_number,0.65,fmt_1
0.288,0.712,yes,TRUE,4,0,0.4444444444444444,0,1,1,110,exp_id_number,0.65,fmt_1
0.301,0.699,yes,TRUE,5,0,0.5555555555555556,0,1,1,110,exp_id_number,0.65,fmt_1
0.37,0.63,yes,TRUE,6,0,0.6666666666666666,0,1,1,110,exp_id_number,0.65,fmt_1
0.45,0.55,yes,TRUE,7,0,0.7777777777777778,0,1,1,110,exp_id_number,0.65,fmt_1
0.633,0.367,no,FALSE,7,1,0.7777777777777778,0.07692307692307693,0.9230769230769231,0.875,110,exp_id_number,0.65,fmt_1
0.653,0.347,yes,TRUE,8,1,0.8888888888888888,0.07692307692307693,0.9230769230769231,0.8888888888888888,110,exp_id_number,0.65,fmt_1
0.672,0.328,yes,TRUE,9,1,1,0.07692307692307693,0.9230769230769231,0.9,110,exp_id_number,0.65,fmt_1
0.794,0.206,no,FALSE,9,2,1,0.15384615384615385,0.8461538461538461,0.8181818181818182,110,exp_id_number,0.65,fmt_1
0.821,0.179,no,FALSE,9,3,1,0.23076923076923078,0.7692307692307692,0.75,110,exp_id_number,0.65,fmt_1
0.833,0.167,no,FALSE,9,4,1,0.3076923076923077,0.6923076923076923,0.6923076923076923,110,exp_id_number,0.65,fmt_1
0.857,0.143,no,FALSE,9,5,1,0.38461538461538464,0.6153846153846154,0.6428571428571429,110,exp_id_number,0.65,fmt_1
0.859,0.141,no,FALSE,9,6,1,0.46153846153846156,0.5384615384615384,0.6,110,exp_id_number,0.65,fmt_1
0.867,0.133,no,FALSE,9,7,1,0.5384615384615384,0.46153846153846156,0.5625,110,exp_id_number,0.65,fmt_1
0.871,0.129,no,FALSE,9,8,1,0.6153846153846154,0.3846153846153846,0.5294117647058824,110,exp_id_number,0.65,fmt_1
0.872,0.128,no,FALSE,9,9,1,0.6923076923076923,0.3076923076923077,0.5,110,exp_id_number,0.65,fmt_1
0.883,0.117,no,FALSE,9,10,1,0.7692307692307693,0.23076923076923073,0.47368421052631576,110,exp_id_number,0.65,fmt_1
0.905,0.095,no,FALSE,9,11,1,0.8461538461538461,0.15384615384615385,0.45,110,exp_id_number,0.65,fmt_1
0.914,0.086,no,FALSE,9,12,1,0.9230769230769231,0.07692307692307687,0.42857142857142855,110,exp_id_number,0.65,fmt_1
0.933,0.067,no,FALSE,9,13,1,1,0,0.4090909090909091,110,exp_id_number,0.65,fmt_1
0.028,0.972,yes,TRUE,1,0,0.2,0,1,1,110,exp_id_number,0.65,fmt_2
0.074,0.926,yes,TRUE,2,0,0.4,0,1,1,110,exp_id_number,0.65,fmt_2
0.114,0.886,yes,TRUE,3,0,0.6,0,1,1,110,exp_id_number,0.65,fmt_2
0.134,0.866,yes,TRUE,4,0,0.8,0,1,1,110,exp_id_number,0.65,fmt_2
0.248,0.752,no,FALSE,4,1,0.8,0.058823529411764705,0.9411764705882353,0.8,110,exp_id_number,0.65,fmt_2
0.338,0.662,no,FALSE,4,2,0.8,0.11764705882352941,0.8823529411764706,0.6666666666666666,110,exp_id_number,0.65,fmt_2
0.421,0.579,no,FALSE,4,3,0.8,0.17647058823529413,0.8235294117647058,0.5714285714285714,110,exp_id_number,0.65,fmt_2
0.449,0.551,no,FALSE,4,4,0.8,0.23529411764705882,0.7647058823529411,0.5,110,exp_id_number,0.65,fmt_2
0.457,0.543,no,FALSE,4,5,0.8,0.29411764705882354,0.7058823529411764,0.4444444444444444,110,exp_id_number,0.65,fmt_2
0.5,0.5,yes,TRUE,5,5,1,0.29411764705882354,0.7058823529411764,0.5,110,exp_id_number,0.65,fmt_2
0.529,0.471,no,FALSE,5,6,1,0.35294117647058826,0.6470588235294117,0.45454545454545453,110,exp_id_number,0.65,fmt_2
0.544,0.456,no,FALSE,5,7,1,0.4117647058823529,0.5882352941176471,0.4166666666666667,110,exp_id_number,0.65,fmt_2
0.56,0.44,no,FALSE,5,8,1,0.47058823529411764,0.5294117647058824,0.38461538461538464,110,exp_id_number,0.65,fmt_2
0.621,0.379,no,FALSE,5,9,1,0.5294117647058824,0.47058823529411764,0.35714285714285715,110,exp_id_number,0.65,fmt_2
0.637,0.363,no,FALSE,5,10,1,0.5882352941176471,0.4117647058823529,0.3333333333333333,110,exp_id_number,0.65,fmt_2
0.667,0.333,no,FALSE,5,11,1,0.6470588235294118,0.3529411764705882,0.3125,110,exp_id_number,0.65,fmt_2
0.688,0.312,no,FALSE,5,12,1,0.7058823529411765,0.2941176470588235,0.29411764705882354,110,exp_id_number,0.65,fmt_2
0.714,0.286,no,FALSE,5,13,1,0.7647058823529411,0.23529411764705888,0.2777777777777778,110,exp_id_number,0.65,fmt_2
0.811,0.189,no,FALSE,5,14,1,0.8235294117647058,0.17647058823529416,0.2631578947368421,110,exp_id_number,0.65,fmt_2
0.819,0.181,no,FALSE,5,15,1,0.8823529411764706,0.11764705882352944,0.25,110,exp_id_number,0.65,fmt_2
0.925,0.075,no,FALSE,5,16,1,0.9411764705882353,0.05882352941176472,0.23809523809523808,110,exp_id_number,0.65,fmt_2
0.931,0.069,no,FALSE,5,17,1,1,0,0.22727272727272727,110,exp_id_number,0.65,fmt_2
0.043,0.957,yes,TRUE,1,0,0.14285714285714285,0,1,1,110,exp_id_number,0.65,p40_1
0.11,0.89,yes,TRUE,2,0,0.2857142857142857,0,1,1,110,exp_id_number,0.65,p40_1
0.141,0.859,yes,TRUE,3,0,0.42857142857142855,0,1,1,110,exp_id_number,0.65,p40_1
0.262,0.738,yes,TRUE,4,0,0.5714285714285714,0,1,1,110,exp_id_number,0.65,p40_1
0.325,0.675,no,FALSE,4,1,0.5714285714285714,0.06666666666666667,0.9333333333333333,0.8,110,exp_id_number,0.65,p40_1
0.368,0.632,yes,TRUE,5,1,0.7142857142857143,0.06666666666666667,0.9333333333333333,0.8333333333333334,110,exp_id_number,0.65,p40_1
0.524,0.476,yes,TRUE,6,1,0.8571428571428571,0.06666666666666667,0.9333333333333333,0.8571428571428571,110,exp_id_number,0.65,p40_1
0.535,0.465,no,FALSE,6,2,0.8571428571428571,0.13333333333333333,0.8666666666666667,0.75,110,exp_id_number,0.65,p40_1
0.543,0.457,no,FALSE,6,3,0.8571428571428571,0.2,0.8,0.6666666666666666,110,exp_id_number,0.65,p40_1
0.642,0.358,no,FALSE,6,4,0.8571428571428571,0.26666666666666666,0.7333333333333334,0.6,110,exp_id_number,0.65,p40_1
0.654,0.346,yes,TRUE,7,4,1,0.26666666666666666,0.7333333333333334,0.6363636363636364,110,exp_id_number,0.65,p40_1
0.767,0.233,no,FALSE,7,5,1,0.3333333333333333,0.6666666666666667,0.5833333333333334,110,exp_id_number,0.65,p40_1
0.833,0.167,no,FALSE,7,6,1,0.4,0.6,0.5384615384615384,110,exp_id_number,0.65,p40_1
0.864,0.136,no,FALSE,7,7,1,0.4666666666666667,0.5333333333333333,0.5,110,exp_id_number,0.65,p40_1
0.886,0.114,no,FALSE,7,8,1,0.5333333333333333,0.4666666666666667,0.4666666666666667,110,exp_id_number,0.65,p40_1
0.911,0.089,no,FALSE,7,9,1,0.6,0.4,0.4375,110,exp_id_number,0.65,p40_1
0.914,0.086,no,FALSE,7,10,1,0.6666666666666666,0.33333333333333337,0.4117647058823529,110,exp_id_number,0.65,p40_1
0.923,0.077,no,FALSE,7,11,1,0.7333333333333333,0.2666666666666667,0.3888888888888889,110,exp_id_number,0.65,p40_1
0.934,0.066,no,FALSE,7,12,1,0.8,0.19999999999999996,0.3684210526315789,110,exp_id_number,0.65,p40_1
0.935,0.065,no,FALSE,7,13,1,0.8666666666666667,0.1333333333333333,0.35,110,exp_id_number,0.65,p40_1
0.935,0.065,no,FALSE,7,14,1,0.9333333333333333,0.06666666666666665,0.3333333333333333,110,exp_id_number,0.65,p40_1
0.949,0.051,no,FALSE,7,15,1,1,0,0.3181818181818182,110,exp_id_number,0.65,p40_1
0.034,0.966,yes,TRUE,1,0,0.09090909090909091,0,1,1,110,exp_id_number,0.65,p40_2
0.044,0.956,yes,TRUE,2,0,0.18181818181818182,0,1,1,110,exp_id_number,0.65,p40_2
0.238,0.762,yes,TRUE,3,0,0.2727272727272727,0,1,1,110,exp_id_number,0.65,p40_2
0.253,0.747,yes,TRUE,4,0,0.36363636363636365,0,1,1,110,exp_id_number,0.65,p40_2
0.287,0.713,yes,TRUE,5,0,0.45454545454545453,0,1,1,110,exp_id_number,0.65,p40_2
0.398,0.602,no,FALSE,5,1,0.45454545454545453,0.09090909090909091,0.9090909090909091,0.8333333333333334,110,exp_id_number,0.65,p40_2
0.405,0.595,yes,TRUE,6,1,0.5454545454545454,0.09090909090909091,0.9090909090909091,0.8571428571428571,110,exp_id_number,0.65,p40_2
0.427,0.573,yes,TRUE,7,1,0.6363636363636364,0.09090909090909091,0.9090909090909091,0.875,110,exp_id_number,0.65,p40_2
0.64,0.36,yes,TRUE,8,1,0.7272727272727273,0.09090909090909091,0.9090909090909091,0.8888888888888888,110,exp_id_number,0.65,p40_2
0.688,0.312,yes,TRUE,9,1,0.8181818181818182,0.09090909090909091,0.9090909090909091,0.9,110,exp_id_number,0.65,p40_2
0.691,0.309,no,FALSE,9,2,0.8181818181818182,0.18181818181818182,0.8181818181818181,0.8181818181818182,110,exp_id_number,0.65,p40_2
0.784,0.216,yes,TRUE,10,2,0.9090909090909091,0.18181818181818182,0.8181818181818181,0.8333333333333334,110,exp_id_number,0.65,p40_2
0.786,0.214,yes,TRUE,11,2,1,0.18181818181818182,0.8181818181818181,0.8461538461538461,110,exp_id_number,0.65,p40_2
0.812,0.188,no,FALSE,11,3,1,0.2727272727272727,0.7272727272727273,0.7857142857142857,110,exp_id_number,0.65,p40_2
0.832,0.168,no,FALSE,11,4,1,0.36363636363636365,0.6363636363636364,0.7333333333333333,110,exp_id_number,0.65,p40_2
0.844,0.156,no,FALSE,11,5,1,0.45454545454545453,0.5454545454545454,0.6875,110,exp_id_number,0.65,p40_2
0.846,0.154,no,FALSE,11,6,1,0.5454545454545454,0.4545454545454546,0.6470588235294118,110,exp_id_number,0.65,p40_2
0.869,0.131,no,FALSE,11,7,1,0.6363636363636364,0.36363636363636365,0.6111111111111112,110,exp_id_number,0.65,p40_2
0.895,0.105,no,FALSE,11,8,1,0.7272727272727273,0.2727272727272727,0.5789473684210527,110,exp_id_number,0.65,p40_2
0.9,0.1,no,FALSE,11,9,1,0.8181818181818182,0.18181818181818177,0.55,110,exp_id_number,0.65,p40_2
0.931,0.069,no,FALSE,11,10,1,0.9090909090909091,0.09090909090909094,0.5238095238095238,110,exp_id_number,0.65,p40_2
0.952,0.048,no,FALSE,11,11,1,1,0,0.5,110,exp_id_number,0.65,p40_2
0.074,0.926,yes,TRUE,1,0,0.1111111111111111,0,1,1,110,exp_id_number,0.65,p40_3
0.098,0.902,yes,TRUE,2,0,0.2222222222222222,0,1,1,110,exp_id_number,0.65,p40_3
0.104,0.896,yes,TRUE,3,0,0.3333333333333333,0,1,1,110,exp_id_number,0.65,p40_3
0.117,0.883,yes,TRUE,4,0,0.4444444444444444,0,1,1,110,exp_id_number,0.65,p40_3
0.145,0.855,yes,TRUE,5,0,0.5555555555555556,0,1,1,110,exp_id_number,0.65,p40_3
0.216,0.784,yes,TRUE,6,0,0.6666666666666666,0,1,1,110,exp_id_number,0.65,p40_3
0.275,0.725,no,FALSE,6,1,0.6666666666666666,0.07692307692307693,0.9230769230769231,0.8571428571428571,110,exp_id_number,0.65,p40_3
0.462,0.538,no,FALSE,6,2,0.6666666666666666,0.15384615384615385,0.8461538461538461,0.75,110,exp_id_number,0.65,p40_3
0.507,0.493,no,FALSE,6,3,0.6666666666666666,0.23076923076923078,0.7692307692307692,0.6666666666666666,110,exp_id_number,0.65,p40_3
0.555,0.445,yes,TRUE,7,3,0.7777777777777778,0.23076923076923078,0.7692307692307692,0.7,110,exp_id_number,0.65,p40_3
0.57,0.43,yes,TRUE,8,3,0.8888888888888888,0.23076923076923078,0.7692307692307692,0.7272727272727273,110,exp_id_number,0.65,p40_3
0.699,0.301,no,FALSE,8,4,0.8888888888888888,0.3076923076923077,0.6923076923076923,0.6666666666666666,110,exp_id_number,0.65,p40_3
0.701,0.299,yes,TRUE,9,4,1,0.3076923076923077,0.6923076923076923,0.6923076923076923,110,exp_id_number,0.65,p40_3
0.778,0.222,no,FALSE,9,5,1,0.38461538461538464,0.6153846153846154,0.6428571428571429,110,exp_id_number,0.65,p40_3
0.797,0.203,no,FALSE,9,6,1,0.46153846153846156,0.5384615384615384,0.6,110,exp_id_number,0.65,p40_3
0.886,0.114,no,FALSE,9,7,1,0.5384615384615384,0.46153846153846156,0.5625,110,exp_id_number,0.65,p40_3
0.897,0.103,no,FALSE,9,8,1,0.6153846153846154,0.3846153846153846,0.5294117647058824,110,exp_id_number,0.65,p40_3
0.908,0.092,no,FALSE,9,9,1,0.6923076923076923,0.3076923076923077,0.5,110,exp_id_number,0.65,p40_3
0.923,0.077,no,FALSE,9,10,1,0.7692307692307693,0.23076923076923073,0.47368421052631576,110,exp_id_number,0.65,p40_3
0.924,0.076,no,FALSE,9,11,1,0.8461538461538461,0.15384615384615385,0.45,110,exp_id_number,0.65,p40_3
0.955,0.045,no,FALSE,9,12,1,0.9230769230769231,0.07692307692307687,0.42857142857142855,110,exp_id_number,0.65,p40_3
0.956,0.044,no,FALSE,9,13,1,1,0,0.4090909090909091,110,exp_id_number,0.65,p40_3
0.185,0.815,yes,TRUE,1,0,0.1111111111111111,0,1,1,111,exp_id_number,0.65,fmt_1
0.198,0.802,yes,TRUE,2,0,0.2222222222222222,0,1,1,111,exp_id_number,0.65,fmt_1
0.227,0.773,yes,TRUE,3,0,0.3333333333333333,0,1,1,111,exp_id_number,0.65,fmt_1
0.26,0.74,yes,TRUE,4,0,0.4444444444444444,0,1,1,111,exp_id_number,0.65,fmt_1
0.293,0.707,yes,TRUE,5,0,0.5555555555555556,0,1,1,111,exp_id_number,0.65,fmt_1
0.304,0.696,yes,TRUE,6,0,0.6666666666666666,0,1,1,111,exp_id_number,0.65,fmt_1
0.312,0.688,yes,TRUE,7,0,0.7777777777777778,0,1,1,111,exp_id_number,0.65,fmt_1
0.331,0.669,yes,TRUE,8,0,0.8888888888888888,0,1,1,111,exp_id_number,0.65,fmt_1
0.519,0.481,no,FALSE,8,1,0.8888888888888888,0.07692307692307693,0.9230769230769231,0.8888888888888888,111,exp_id_number,0.65,fmt_1
0.682,0.318,no,FALSE,8,2,0.8888888888888888,0.15384615384615385,0.8461538461538461,0.8,111,exp_id_number,0.65,fmt_1
0.712,0.288,no,FALSE,8,3,0.8888888888888888,0.23076923076923078,0.7692307692307692,0.7272727272727273,111,exp_id_number,0.65,fmt_1
0.716,0.284,yes,TRUE,9,3,1,0.23076923076923078,0.7692307692307692,0.75,111,exp_id_number,0.65,fmt_1
0.768,0.232,no,FALSE,9,4,1,0.3076923076923077,0.6923076923076923,0.6923076923076923,111,exp_id_number,0.65,fmt_1
0.781,0.219,no,FALSE,9,5,1,0.38461538461538464,0.6153846153846154,0.6428571428571429,111,exp_id_number,0.65,fmt_1
0.833,0.167,no,FALSE,9,6,1,0.46153846153846156,0.5384615384615384,0.6,111,exp_id_number,0.65,fmt_1
0.847,0.153,no,FALSE,9,7,1,0.5384615384615384,0.46153846153846156,0.5625,111,exp_id_number,0.65,fmt_1
0.856,0.144,no,FALSE,9,8,1,0.6153846153846154,0.3846153846153846,0.5294117647058824,111,exp_id_number,0.65,fmt_1
0.869,0.131,no,FALSE,9,9,1,0.6923076923076923,0.3076923076923077,0.5,111,exp_id_number,0.65,fmt_1
0.886,0.114,no,FALSE,9,10,1,0.7692307692307693,0.23076923076923073,0.47368421052631576,111,exp_id_number,0.65,fmt_1
0.891,0.109,no,FALSE,9,11,1,0.8461538461538461,0.15384615384615385,0.45,111,exp_id_number,0.65,fmt_1
0.902,0.098,no,FALSE,9,12,1,0.9230769230769231,0.07692307692307687,0.42857142857142855,111,exp_id_number,0.65,fmt_1
0.919,0.081,no,FALSE,9,13,1,1,0,0.4090909090909091,111,exp_id_number,0.65,fmt_1
0.051,0.949,yes,TRUE,1,0,0.2,0,1,1,111,exp_id_number,0.65,fmt_2
0.113,0.887,yes,TRUE,2,0,0.4,0,1,1,111,exp_id_number,0.65,fmt_2
0.125,0.875,yes,TRUE,3,0,0.6,0,1,1,111,exp_id_number,0.65,fmt_2
0.161,0.839,yes,TRUE,4,0,0.8,0,1,1,111,exp_id_number,0.65,fmt_2
0.172,0.828,yes,TRUE,5,0,1,0,1,1,111,exp_id_number,0.65,fmt_2
0.325,0.675,no,FALSE,5,1,1,0.058823529411764705,0.9411764705882353,0.8333333333333334,111,exp_id_number,0.65,fmt_2
0.428,0.572,no,FALSE,5,2,1,0.11764705882352941,0.8823529411764706,0.7142857142857143,111,exp_id_number,0.65,fmt_2
0.444,0.556,no,FALSE,5,3,1,0.17647058823529413,0.8235294117647058,0.625,111,exp_id_number,0.65,fmt_2
0.491,0.509,no,FALSE,5,4,1,0.23529411764705882,0.7647058823529411,0.5555555555555556,111,exp_id_number,0.65,fmt_2
0.513,0.487,no,FALSE,5,5,1,0.29411764705882354,0.7058823529411764,0.5,111,exp_id_number,0.65,fmt_2
0.53,0.47,no,FALSE,5,6,1,0.35294117647058826,0.6470588235294117,0.45454545454545453,111,exp_id_number,0.65,fmt_2
0.536,0.464,no,FALSE,5,7,1,0.4117647058823529,0.5882352941176471,0.4166666666666667,111,exp_id_number,0.65,fmt_2
0.607,0.393,no,FALSE,5,8,1,0.47058823529411764,0.5294117647058824,0.38461538461538464,111,exp_id_number,0.65,fmt_2
0.656,0.344,no,FALSE,5,9,1,0.5294117647058824,0.47058823529411764,0.35714285714285715,111,exp_id_number,0.65,fmt_2
0.694,0.306,no,FALSE,5,10,1,0.5882352941176471,0.4117647058823529,0.3333333333333333,111,exp_id_number,0.65,fmt_2
0.717,0.283,no,FALSE,5,11,1,0.6470588235294118,0.3529411764705882,0.3125,111,exp_id_number,0.65,fmt_2
0.775,0.225,no,FALSE,5,12,1,0.7058823529411765,0.2941176470588235,0.29411764705882354,111,exp_id_number,0.65,fmt_2
0.812,0.188,no,FALSE,5,13,1,0.7647058823529411,0.23529411764705888,0.2777777777777778,111,exp_id_number,0.65,fmt_2
0.835,0.165,no,FALSE,5,14,1,0.8235294117647058,0.17647058823529416,0.2631578947368421,111,exp_id_number,0.65,fmt_2
0.843,0.157,no,FALSE,5,15,1,0.8823529411764706,0.11764705882352944,0.25,111,exp_id_number,0.65,fmt_2
0.919,0.081,no,FALSE,5,16,1,0.9411764705882353,0.05882352941176472,0.23809523809523808,111,exp_id_number,0.65,fmt_2
0.92,0.08,no,FALSE,5,17,1,1,0,0.22727272727272727,111,exp_id_number,0.65,fmt_2
0.1,0.9,yes,TRUE,1,0,0.1,0,1,1,111,exp_id_number,0.65,p40_1
0.193,0.807,yes,TRUE,2,0,0.2,0,1,1,111,exp_id_number,0.65,p40_1
0.21,0.79,yes,TRUE,3,0,0.3,0,1,1,111,exp_id_number,0.65,p40_1
0.236,0.764,yes,TRUE,4,0,0.4,0,1,1,111,exp_id_number,0.65,p40_1
0.253,0.747,yes,TRUE,5,0,0.5,0,1,1,111,exp_id_number,0.65,p40_1
0.264,0.736,yes,TRUE,6,0,0.6,0,1,1,111,exp_id_number,0.65,p40_1
0.275,0.725,yes,TRUE,7,0,0.7,0,1,1,111,exp_id_number,0.65,p40_1
0.291,0.709,yes,TRUE,8,0,0.8,0,1,1,111,exp_id_number,0.65,p40_1
0.534,0.466,no,FALSE,8,1,0.8,0.08333333333333333,0.9166666666666666,0.8888888888888888,111,exp_id_number,0.65,p40_1
0.609,0.391,yes,TRUE,9,1,0.9,0.08333333333333333,0.9166666666666666,0.9,111,exp_id_number,0.65,p40_1
